artists,x0,x1,play_count
Alexis Vlassof Chorus Igor Stravinsky Orchestre des Concerts Walther Straram,-0.17029975,10.198297,3
Alexis Weissenberg Claude Debussy,-1.5922133,12.4028225,3
Alexis y Fido,11.8217325,9.726538,7
Alexisonfire,9.698934,13.112831,3
Alfred Brendel Hungarian Quintet Wolfgang Amadeus Mozart,-0.55052364,11.944296,3
Alfred Brendel Wolfgang Amadeus Mozart,-0.93188965,12.555504,3
Alfred Cortot Frédéric Chopin,-1.5104611,11.749676,62
Alfred Drake,4.721279,8.316835,5
"Alfred Drake Cole Porter Kiss Me, Kate Ensemble Original Broadway Cast Orchestra Pembroke Davenport",5.8650117,6.0846267,4
Alfred Drake Cole Porter Original Broadway Cast Orchestra Pembroke Davenport,3.7528028,8.020663,3
Alfred Hitchcock,5.3422055,3.2151098,4
Alfred Hitchcock Jeff Alexander,2.8783507,8.264138,10
Alfred Newman,-1.0655936,10.3791,52
Alfred Newman Mike McDonald,-1.9389321,11.04714,6
Alfred Poell August Jaresch Clemens Krauss Emmy Loose Hilde Zadek Johann Strauss II Julius Patzak Karl Dönch Kurt Preger Rosette Anday Stefii Leverenz Wiener Philharmoniker,2.800824,8.655232,12
Alfred Wallenstein Arthur Rubinstein Edvard Grieg RCA Victor Symphony Orchestra,-1.6347133,11.281023,5
Alfred Wallenstein Arthur Rubinstein Franz Liszt RCA Victor Symphony Orchestra,-1.6630294,11.539087,9
Alfred Wallenstein Arthur Rubinstein Frédéric Chopin Symphony Of The Air,-1.6492922,11.879866,3
Alfred Wallenstein Erich Wolfgang Korngold Jascha Heifetz,-0.4987208,10.7723055,6
Alfred Wallenstein Gregor Piatigorsky Johannes Brahms,-0.2740712,11.526554,3
Alfredo Antonini Alice Ghostley Ilka Chase Julie Andrews Kaye Ballard Richard Rodgers,3.8417325,6.150549,3
Alfredo Antonini Jon Cypher Julie Andrews Richard Rodgers,4.6023536,7.9925184,3
Alfredo Antonini Julie Andrews Richard Rodgers,3.7885568,8.649179,3
Alfredo Antonini Richard Rodgers The Cinderella Orchestra,2.790599,13.119412,3
Alfredo Olivas,10.851719,7.301066,4
Alfredo Simonetto Gaetano Donizetti Orchestra Lirica e Coro di Torino della Rai,5.942764,5.8200955,8
Alfredo Simonetto Giacomo Puccini Orchestra Lirica di Torino della Rai,3.962105,7.3054814,4
Alfredo Simonetto Giuseppe Verdi Orchestra lirica di Milano della RAI,4.4306703,7.8703446,19
Ali Farka Touré Ry Cooder,6.832173,9.114209,3
Ali Gatie,8.30035,9.953043,7
Aliakbar Shekarchi,2.705542,12.1727495,17
Alibert,6.474752,6.7071586,7
Alice Coltrane,0.4993467,11.4064865,13
Alice Coltrane Joe Henderson,2.0499268,11.663655,3
Alice Coltrane Pharoah Sanders,8.1136055,12.067735,5
Alice Cooper,9.092977,10.600641,80
Alice Faye,3.794083,7.778847,13
Alice In Chains,9.050059,12.768993,72
Alicia Keys,7.829459,10.399607,27
Alicia Myers,9.967806,8.787857,3
Alicia Villarreal,6.684247,9.762491,3
Alien Ant Farm,11.112433,11.803196,8
Alina Baraz,7.647229,10.921655,4
Alina Baraz Galimatias,7.9909167,10.764641,10
Alina Baraz Khalid,6.304567,9.315028,4
Alison Krauss,5.872232,8.990233,10
Alison Krauss & Union Station,6.967951,8.442939,8
Alison Krauss Robert Plant,5.9061804,13.593142,4
Alison Moyet,10.754808,8.436346,6
Alka Yagnik Udit Narayan,8.39849,7.2242665,3
Alkaline Trio,10.905292,12.631841,19
All Sons & Daughters,7.6637044,11.367215,5
All That Remains,9.864363,12.661145,11
All Time Low,11.013606,13.199349,29
All-4-One,8.0033,10.313218,8
Alla Pugacheva,7.058427,7.295402,4
Allauddin Khan,1.6394379,11.898756,5
Allen Toussaint,8.954572,7.9732633,18
Almendra,6.752534,7.970538,3
Almirante,7.3507533,6.4904203,8
Almirante Carmen Miranda,5.9197817,5.6312647,4
Aloe Blacc,9.962346,9.977038,4
Alpana Banerjee,2.8689573,11.899694,8
Alphaville,9.937587,9.527449,15
Alter Bridge,9.911789,13.639093,11
Altered Images,5.547849,13.247265,4
Althea And Donna,11.209214,8.415396,4
Alton Ellis,10.534635,8.322486,6
Alvarenga E Ranchinho,5.9126744,6.334393,15
Alvaro Torres,7.320953,8.928513,5
Alvin & The Chipmunks,8.066057,6.975282,25
Alvin & The Chipmunks David Seville,7.392894,6.656791,11
Alvin Alcorn Barney Kessel Bob McCracken Cedric Haywood Don Ewell Ed Garland George Probert Julian Davidson Kid Ory Lloyd Glenn Minor Hall Morty Corb Phil Gomez Pud Brown Teddy Buckner Wellman Braud,3.5438905,12.7618685,4
Alvvays,6.6304197,14.012765,5
Aly & AJ,11.720536,11.272504,7
AmaIia Rodriguez,5.083766,8.367641,17
AmaIia Rodriguez Jaime Santos Santos Moreira,6.496856,7.5087566,5
Amadeus Quartet Cecil Aronowitz Wolfgang Amadeus Mozart,0.30801606,11.7801895,4
Amadeus Quartet Sir Clifford Curzon Wolfgang Amadeus Mozart,0.17910494,12.267292,3
Amadeus Quartet Wolfgang Amadeus Mozart,0.17947675,11.88782,8
Amalia Mendoza,4.8128614,8.156554,6
Amalia Mendoza El Piporro Juan Gabriel La Prieta Linda Las Hermanas Padilla Las Jilguerillas Lola Beltrán Lucha Villa Vicente Fernández,8.717802,9.02095,6
Amalia Mendoza José Alfredo Jimenez,5.217903,7.0352535,3
Amalia Pini Anna Maria Canali Giuseppe Verdi Lina Pagliughi Mario Rossi Orchestra Sinfonica Di Torino Della Rai Rosanna Carteri,3.7702293,6.3148623,3
Amanaz,9.232141,9.786721,12
Amanda Miguel,7.4318137,8.852807,18
Amanda Perez,8.812302,10.050723,4
Amaranthe,10.939962,13.276868,4
Amazing Rhythm Aces,9.159703,7.7942004,7
Amber Run,5.213783,9.477814,5
Ambrosia,10.93475,9.200299,9
Amel Larrieux,9.19052,9.970734,3
America,7.4718204,8.929583,59
American Authors,11.26061,11.190159,7
American Football,6.1750174,13.847641,9
American Hi-Fi,11.178527,13.219404,3
American Symphony Orchestra Glenn Gould Leopold Stokowski Ludwig van Beethoven,-1.5609417,11.410804,4
Amerie,11.5638485,10.411606,5
Amil JAY-Z Ja Rule,13.651671,10.188897,3
Amilcare Ponchielli Antonino Votto Maria Callas Orchestra Della Rai di Torino Orchestra Sinfonica della RAI de Torino,3.2398071,7.687294,7
Amilcare Ponchielli Antonino Votto Maria Callas Orchestra Sinfonica della RAI de Torino,3.5273829,7.060098,4
Aminé,13.650525,9.907431,11
Amirbai Karnataki,5.8228145,6.3582964,93
Amirbai Karnataki Arun Kumar,1.6984773,12.355114,3
Amitabh Bachchan,6.7726226,7.156999,3
Amon Amarth,7.210694,13.894672,6
Amon Düül II,6.8638806,12.889776,4
Amon Tobin,5.685928,13.620909,3
Amos Lee,6.2638397,9.794949,10
Amsterdam Baroque Orchestra Johann Sebastian Bach Ton Koopman Yo-Yo Ma,-0.45229995,12.361735,6
Amsterdam Baroque Orchestra Luigi Boccherini Ton Koopman Yo-Yo Ma,-1.3836032,11.958517,4
Amsterdam Toonkunst Choir Concertgebouworkest Johann Sebastian Bach Willem Mengelberg,-0.48094064,10.794045,5
Amy Grant,8.494064,11.011592,23
Amy Winehouse,9.882794,10.468882,35
Amália Rodrigues,5.237641,8.820019,9
AmáΙia Rodrigues,5.2774224,7.8390565,21
Ana Bárbara,10.594525,8.385766,8
Ana Gabriel,7.2326527,9.780132,36
Ananda Shankar,8.51726,10.197659,5
Anarbor,11.144342,11.690822,7
Anasuya Mukherjee,5.031162,9.132127,3
Anberlin,11.15577,13.283264,8
Anderson .Paak,11.232177,10.289996,9
Andrae Crouch,7.4173503,9.195793,4
Andre Kostelanetz & His Orchestra,-0.5313604,11.031109,11
Andre Kostelanetz George Gershwin Oscar Levant,-0.41416767,11.246136,4
Andre Nickatina,13.5998,9.301902,9
Andrea Bocelli,5.2145786,8.879396,10
"Andrea Ferrario Ars Cantus - Voci Bianche, Coro e Orchestra Sinfonici Joaquín Rodrigo",3.2622504,6.111928,3
Andrea Wolper,4.423513,8.724507,12
Andrew Belle,8.36396,11.6629505,4
Andrew Bird,8.63903,10.680741,5
Andrew Davis Edward Elgar Philharmonia Orchestra,-0.92216796,11.317642,14
Andrew Gold,10.639619,8.37033,7
Andrew Hill,6.9708443,8.877627,5
Andrew Lloyd Webber,5.833202,9.845605,4
Andrew Lloyd Webber Emmy Rossum Gerard Butler,3.713412,8.74518,3
Andrew Lloyd Webber Michael Crawford Phantom Of The Opera Original London Cast Sarah Brightman,3.296569,7.3556786,3
Andrew Lloyd Webber Michael Crawford Phantom Of The Opera Original London Cast Sarah Brightman Steve Barton,3.9313579,8.98054,5
Andrew Manze The English Concert Wolfgang Amadeus Mozart,3.924931,8.2224655,3
